sex,program,ed_level
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,doctorate
Male,curriculum,less than high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,doctorate
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,less than high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,master-level degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,some college
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,doctorate
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,high school
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,high school
Male,curriculum,some college
Male,curriculum,bachelor degree
Male,curriculum,bachelor degree
Male,curriculum,master-level degree
Male,curriculum,bachelor degree
Male,curriculum,some college
Male,curriculum,high school
